#group,false,false,false
#datatype,string,long,dateTime:RFC3339
#default,,,
,id,p_count,time
,aiot,0,2026-02-22T19:09:14.249544117Z
,aiot,0,2026-02-22T19:14:14.27798797Z
,aiot,0,2026-02-22T19:19:14.306727726Z
,aiot,0,2026-02-22T19:24:14.348273073Z
,aiot,0,2026-02-22T19:29:14.267502864Z
,aiot,0,2026-02-22T19:34:14.287096934Z
,aiot,0,2026-02-22T19:39:14.255955098Z
,aiot,0,2026-02-22T19:44:14.66758689Z
,aiot,0,2026-02-22T19:49:14.596598766Z
,aiot,0,2026-02-22T19:54:14.629469813Z
,aiot,0,2026-02-22T19:59:14.65743224Z
,aiot,0,2026-02-22T20:04:14.688556244Z
,aiot,0,2026-02-22T20:14:15.041634487Z
,aiot,0,2026-02-22T20:19:14.987037753Z
,aiot,0,2026-02-22T20:24:15.010733049Z
,aiot,0,2026-02-22T20:29:15.165903309Z
,aiot,0,2026-02-22T20:34:15.077231223Z
,aiot,0,2026-02-22T20:39:14.944349676Z
,aiot,0,2026-02-22T20:44:15.165725114Z
,aiot,0,2026-02-22T20:49:15.077011542Z
,aiot,0,2026-02-22T20:54:15.109444471Z
,aiot,0,2026-02-22T20:59:15.148542856Z
,aiot,0,2026-02-22T21:04:15.068523436Z
,aiot,0,2026-02-22T21:09:15.086948316Z
,aiot,0,2026-02-22T21:14:15.126241557Z
,aiot,0,2026-02-22T21:19:15.159580222Z
,aiot,0,2026-02-22T21:24:15.090194127Z
,aiot,0,2026-02-22T21:29:15.317564783Z
,aiot,0,2026-02-22T21:34:15.437960659Z
,aiot,0,2026-02-22T21:39:15.576508308Z
,aiot,0,2026-02-22T21:44:15.606895738Z
,aiot,0,2026-02-22T21:49:15.647533811Z
,aiot,0,2026-02-22T21:54:15.777565829Z
,aiot,0,2026-02-22T21:59:16.006596969Z
,aiot,0,2026-02-22T22:04:16.050316673Z
,aiot,0,2026-02-22T22:09:16.286684581Z
,aiot,0,2026-02-22T22:14:16.305928852Z
,aiot,0,2026-02-22T22:19:16.345800654Z
